2026/06/27 18:28:56 NOTICE: projeto-master: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/bun-types: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/commander: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/detect-libc: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/diff: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/js-yaml: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/jsonc-parser: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/oh-my-opencode-windows-x64: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/oh-my-opencode-windows-x64-baseline: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/picocolors: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/picomatch: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/posthog-node: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/typescript: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/vscode-jsonrpc: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/zod: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/@ast-grep/cli: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/@ast-grep/napi: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/@clack/prompts: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/@code-yeongyu/comment-checker: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/packages/agents-md-core/node_modules/@oh-my-opencode/rules-engine: Can't follow symlink without -L/--copy-links
2026/06/27 18:28:56 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/.bun/@ast-grep+cli@0.42.3/node_modules/detect-libc: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: projeto-master: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/bun-types: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/commander: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/detect-libc: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/diff: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/js-yaml: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/jsonc-parser: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/oh-my-opencode-windows-x64: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/oh-my-opencode-windows-x64-baseline: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/picocolors: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/picomatch: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/posthog-node: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/typescript: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/vscode-jsonrpc: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:33 NOTICE: skills pastas melhorias agentes/oh-my-openagent/node_modules/zod: Can't follow symlink without -L/--copy-links
2026/06/27 18:29:36 INFO  : .pytest_cache/.gitignore: Copied (new)
2026/06/27 18:29:37 INFO  : COISAS JOAO/.gitattributes: Copied (new)
2026/06/27 18:29:37 INFO  : requirements.txt: Copied (new)
2026/06/27 18:29:37 INFO  : skills_114_summary.txt: Copied (new)
2026/06/27 18:29:38 INFO  : .pytest_cache/CACHEDIR.TAG: Copied (new)
2026/06/27 18:29:40 INFO  : Projeto_Microfone/escuta_opencode.py: Copied (new)
2026/06/27 18:29:40 INFO  : .pytest_cache/README.md: Copied (new)
2026/06/27 18:29:41 INFO  : AIS/Antigravity IDE.lnk: Copied (new)
2026/06/27 18:29:41 INFO  : Projeto_Microfone/escuta_unificado.py: Copied (new)
2026/06/27 18:29:42 INFO  : Projeto_Microfone/escuta_vapt_vupt.py: Copied (new)
2026/06/27 18:29:42 INFO  : AIS/Antigravity.lnk: Copied (new)
2026/06/27 18:29:43 INFO  : Projeto_Microfone/fix_audio_recorder.py: Copied (new)
2026/06/27 18:29:43 INFO  : AIS/OpenCode.lnk: Copied (new)
2026/06/27 18:29:45 INFO  : Projeto_Microfone/fix_encoding.py: Copied (new)
2026/06/27 18:29:45 INFO  : config/.gitignore: Copied (new)
2026/06/27 18:29:45 INFO  : config/OPENROUTER_API_KEY.env: Copied (new)
2026/06/27 18:29:45 INFO  : config/GOOGLE_API_KEY.env: Copied (new)
2026/06/27 18:29:48 INFO  : core/agent_loop.py: Copied (new)
2026/06/27 18:29:48 INFO  : config/opencode.json: Copied (new)
2026/06/27 18:29:49 INFO  : core/llm_gateway.py: Copied (new)
2026/06/27 18:29:49 INFO  : agents/__init__.py: Copied (new)
2026/06/27 18:29:49 INFO  : agents/base_agent.py: Copied (new)
2026/06/27 18:29:50 INFO  : agents/agent_registry_agent.py: Copied (new)
2026/06/27 18:29:51 INFO  : agents/cache_agent.py: Copied (new)
2026/06/27 18:29:51 INFO  : agents/config_agent.py: Copied (new)
2026/06/27 18:29:51 INFO  : agents/feedback_agent.py: Copied (new)
2026/06/27 18:29:51 INFO  : agents/error_handler_agent.py: Copied (new)
2026/06/27 18:29:52 INFO  : agents/file_system_agent.py: Copied (new)
2026/06/27 18:29:53 INFO  : agents/ip_scanner_agent.py: Copied (new)
2026/06/27 18:29:53 INFO  : agents/logger_agent.py: Copied (new)
2026/06/27 18:29:53 INFO  : agents/metrics_agent.py: Copied (new)
2026/06/27 18:29:54 INFO  : agents/model_health_check_agent.py: Copied (new)
2026/06/27 18:29:54 INFO  : agents/model_response_parser_agent.py: Copied (new)
2026/06/27 18:29:55 INFO  : agents/model_router_agent.py: Copied (new)
2026/06/27 18:29:55 INFO  : agents/network_info_agent.py: Copied (new)
2026/06/27 18:29:56 INFO  : agents/orchestrator_agent.py: Copied (new)
2026/06/27 18:29:56 INFO  : agents/os_controller_agent.py: Copied (new)
2026/06/27 18:29:57 INFO  : agents/permission_agent.py: Copied (new)
2026/06/27 18:29:57 INFO  : agents/permission_prompt_agent.py: Copied (new)
2026/06/27 18:29:58 INFO  : agents/ping_agent.py: Copied (new)
2026/06/27 18:29:58 INFO  : agents/rate_limiter_agent.py: Copied (new)
2026/06/27 18:29:58 INFO  : agents/remote_client_agent.py: Copied (new)
2026/06/27 18:29:59 INFO  : agents/remote_server_agent.py: Copied (new)
2026/06/27 18:30:00 INFO  : agents/retry_agent.py: Copied (new)
2026/06/27 18:30:00 INFO  : agents/shutdown_agent.py: Copied (new)
2026/06/27 18:30:00 INFO  : agents/task_executor_agent.py: Copied (new)
2026/06/27 18:30:01 INFO  : agents/task_planner_agent.py: Copied (new)
2026/06/27 18:30:01 INFO  : agents/terminal_agent.py: Copied (new)
2026/06/27 18:30:02 INFO  : agents/theme_agent.py: Copied (new)
2026/06/27 18:30:02 INFO  : agents/ui_agent.py: Copied (new)
2026/06/27 18:30:02 INFO  : agents/update_agent.py: Copied (new)
2026/06/27 18:30:03 INFO  : agents/web_search_agent.py: Copied (new)
2026/06/27 18:30:33 INFO  : fara/.gitattributes: Copied (new)
2026/06/27 18:30:37 INFO  : fara/.gitignore: Copied (new)
2026/06/27 18:30:38 INFO  : docs_misc/test_tone.wav: Copied (new)
2026/06/27 18:30:40 INFO  : fara/.gitmodules: Copied (new)
2026/06/27 18:30:42 INFO  : fara/CODE_OF_CONDUCT.md: Copied (new)
2026/06/27 18:30:44 INFO  : fara/LICENSE: Copied (new)
2026/06/27 18:30:49 INFO  : fara/README.md: Copied (new)
2026/06/27 18:30:49 INFO  : fara/SECURITY.md: Copied (new)
2026/06/27 18:30:53 INFO  : fara/TRANSPARENCY_NOTE.md: Copied (new)
2026/06/27 18:30:54 INFO  : fara/pyproject.toml: Copied (new)
2026/06/27 18:30:56 INFO  : COISAS JOAO/.gitignore: Copied (new)
2026/06/27 18:30:56 INFO  : COISAS JOAO/README.md: Copied (new)
2026/06/27 18:30:59 INFO  : docs_misc/all_files.pdf: Copied (new)
2026/06/27 18:31:00 INFO  : model-router/.env.example: Copied (new)
2026/06/27 18:31:00 INFO  : model-router/.env: Copied (new)
2026/06/27 18:31:03 INFO  : model-router/litellm_config.yaml: Copied (new)
2026/06/27 18:31:05 INFO  : model-router/start_router.ps1: Copied (new)
